,Artista,Cancion,Pais,Country_ID,Track_ID,Explicit,Release_Date,Release_Date_Precision,Album_Type,Popularity,Duration,tempo,key,loudness_db,beat,energy,danceability,positiveness,speechiness,liveness,acousticness,instrumentalness,Ranking,mode
0,DobleP & Tuti Dj & PEREIRAREMIX,SE DICE DE MI,Argentina,AR,2wEhjcnre2PU36KQNBLXCC,True,2024-09-11,day,single,65.0,136000.0,180 BPM,D,-7.56,4/4,52.0,71.0,82.0,23.0,50.0,10.0,0.0,1,Maj
1,renzo ed & ELAGGUME,COLOCARTELO,Argentina,AR,4xXvGEiTkoaIkOMWa4u3Mn,False,2024-10-24,day,single,74.0,176250.0,96 BPM,C,-3.48,4/4,70.0,86.0,81.0,6.0,4.0,43.0,0.0,2,min
4,Valentino Merlo & The La Planta,Hoy,Argentina,AR,0SoBfYjQHvL6cuWHtPUYnq,False,2024-05-22,day,single,77.0,198495.0,176 BPM,B,-4.61,4/4,71.0,45.0,66.0,4.0,15.0,24.0,0.0,3,Maj
6,Tiago PZK & Anitta & Emilia,Alegría,Argentina,AR,0c82YIGpQ5dCaXpTNCk4sb,False,2024-07-04,day,album,75.0,165054.0,84 BPM,A,-2.34,5/4,66.0,57.0,88.0,10.0,6.0,5.0,0.0,4,min
7,Ponte Perro & COLORS,Mi santo - A COLORS SHOW,Argentina,AR,6rKOEyg05nKSRRErDmBWjy,False,2024-08-29,day,single,56.0,133013.0,100 BPM,F,-5.29,4/4,82.0,82.0,91.0,11.0,16.0,44.0,0.0,5,min
8,La Joaqui & DobleP,Terapia de choque,Argentina,AR,1HRUB9L0IRcRHzLVD4pk6C,False,2024-07-17,day,single,65.0,164424.0,102 BPM,C#,-4.29,4/4,91.0,72.0,88.0,5.0,12.0,13.0,0.0,6,Maj
9,DJ Sanny J,Fiesta Reggaeton - D@Niele 2010 Tek Remix,Argentina,AR,1ND3O9oFkHElah4d5g3OeF,False,2010-08-25,day,single,41.0,379141.0,128 BPM,C#,-5.0,4/4,84.0,84.0,84.0,16.0,8.0,3.0,0.0,7,Maj
11,RAMKY EN LOS CONTROLES & Roze Oficial,SALE SOLA,Argentina,AR,2xm4FQMffynQ251pwc0Rcn,False,2024-09-12,day,single,57.0,125969.0,97 BPM,G,-2.99,4/4,71.0,75.0,85.0,4.0,12.0,21.0,0.0,8,min
12,Big One & Tiago PZK & La Joaqui,Pa´ Que Te Acuerdes | CROSSOVER #8,Argentina,AR,5aZ8rf2aPfZrnRWLA7bByo,True,2024-10-02,day,single,74.0,172800.0,100 BPM,A,-4.8,4/4,68.0,80.0,52.0,5.0,7.0,6.0,0.0,9,Maj
14,Klim,Toa Toa,Argentina,AR,2zQa0VTafGFnrtuZnkeuPm,False,2024-07-25,day,single,59.0,148050.0,100 BPM,F,-6.57,4/4,60.0,85.0,59.0,6.0,9.0,36.0,0.0,10,Maj
15,Airbag,Cicatrices,Argentina,AR,23FJGRug9hlYUIBnrmkIBX,False,2016-09-16,day,album,66.0,228541.0,89 BPM,G#,-4.39,4/4,70.0,29.0,40.0,3.0,19.0,0.0,1.0,11,Maj
19,Yami Safdie & Lasso,En Otra Vida,Argentina,AR,0EhmTBq33eARyOz3SIi4P2,False,2024-10-10,day,single,80.0,153609.0,185 BPM,C,-11.63,3/4,16.0,46.0,48.0,4.0,14.0,93.0,0.0,12,Maj
20,Sarpado Negro Fino,ELLA ES BUTAKERA x Alex El Beatmaker,Argentina,AR,1kVK8CdQPKhAHTkqp21bE7,False,2024-08-08,day,single,44.0,145727.0,126 BPM,A#,-0.43,3/4,86.0,57.0,64.0,12.0,8.0,11.0,0.0,13,min
21,Maria Becerra,AGORA,Argentina,AR,0EVxchTHYIgx618OrpcrdQ,False,2024-09-12,day,single,74.0,153564.0,170 BPM,E,-2.22,4/4,87.0,69.0,63.0,9.0,34.0,25.0,0.0,14,min
22,Piromano El Del Flow Gitano,MIENTES TAN BIEN,Argentina,AR,0IVaOnXV1QqPwhbW2PpMoM,False,2024-05-15,day,single,61.0,215257.0,97 BPM,D#,-5.35,4/4,66.0,69.0,59.0,5.0,9.0,8.0,0.0,15,min
26,El Alfa & Nfasis,ESTE,Argentina,AR,0GfWTZZOc7co6oVqyQ556l,False,2024-07-04,day,single,71.0,162058.0,103 BPM,D,-4.64,4/4,68.0,92.0,39.0,20.0,18.0,4.0,0.0,16,Maj
32,La Joaqui,ELEUSECA,Argentina,AR,2G9Peu46Wi5ndbX8HKpy5j,False,2024-09-04,day,single,43.0,136956.0,92 BPM,B,-3.08,4/4,66.0,74.0,46.0,4.0,13.0,25.0,0.0,17,Maj
35,Maluma,Pretextos (feat. Cosculluela),Argentina,AR,7HDOS7qOhBxmcsWTv29PSK,False,2015-10-30,day,album,68.0,228280.0,87 BPM,B,-5.0,4/4,71.0,83.0,64.0,14.0,17.0,25.0,0.0,18,Maj
37,Rokero & Luar La L & Los G4,De La Nada - Remix,Argentina,AR,2OfBHBXUv6G3PYFaiFYEEM,True,2022-11-24,day,single,63.0,300373.0,86 BPM,C,-6.78,4/4,64.0,52.0,74.0,26.0,10.0,32.0,0.0,19,min
41,Jere Klein & ADAN LA AMENAZA,LA BANDA,Argentina,AR,0Lza01W8dOGTLWXIuHQ6JY,False,2024-05-29,day,single,54.0,172500.0,128 BPM,C,-4.77,4/4,84.0,87.0,89.0,8.0,25.0,11.0,0.0,20,Maj
43,Flor Alvarez & PUSHI,Tattoo,Argentina,AR,6KuS9WnV0GqXzVRUMIJ9aa,False,2024-11-20,day,single,64.0,142467.0,117 BPM,D,-6.92,3/4,63.0,56.0,74.0,4.0,7.0,19.0,0.0,21,min
44,Ponte Perro,SOLARI RKT,Argentina,AR,19fJwQGQavo2e7z7X3Y6NW,False,2024-03-14,day,single,54.0,147914.0,172 BPM,F#,-3.31,4/4,85.0,68.0,50.0,41.0,8.0,5.0,0.0,22,min
47,El Traidor y los Pibes,Mi Guitarra,Argentina,AR,4IOy2uZ4ObsFtqUgHsENji,False,2019-06-21,day,single,41.0,172317.0,85 BPM,G,-5.91,4/4,79.0,72.0,96.0,6.0,31.0,12.0,0.0,23,min
49,Emilia,noviogangsta <3,Argentina,AR,7yrTny7FLWLbfIzsxoicWj,True,2024-10-12,day,single,75.0,157209.0,129 BPM,B,-4.27,4/4,87.0,82.0,94.0,4.0,25.0,25.0,0.0,24,min
50,Dj Pirata & El Kaio & Dj Luciano Troncoso,Envuelto en Llamas - Tik Tok - Guaracha,Argentina,AR,0Qsogiz85kxpg15qYHNpOC,False,2024-09-06,day,single,47.0,180472.0,127 BPM,D#,-8.9,4/4,70.0,91.0,66.0,8.0,22.0,7.0,0.0,25,min
51,Nicolas Maulen,Demonio Vestido 'e Mujer (Techengue) - Remix,Argentina,AR,0vlox5sOTXXWgpT81Ru95R,False,2024-04-12,day,single,53.0,180035.0,125 BPM,F,-7.9,4/4,90.0,83.0,63.0,6.0,28.0,2.0,2.0,26,min
52,Lenny Tavárez,No Quiere Amor (Remix),Argentina,AR,7CSBUGTFvtgdzFMwt3zAHU,True,2017-05-19,day,single,56.0,378000.0,124 BPM,F,-6.43,4/4,77.0,74.0,78.0,29.0,16.0,85.0,0.0,27,min
53,La Joaqui & Yeri Mua & Gusty DJ,CHEKATE,Argentina,AR,49aC4567N1JBZkjCp70uxl,True,2024-10-23,day,single,57.0,164605.0,103 BPM,C,-3.74,4/4,88.0,83.0,63.0,6.0,30.0,13.0,0.0,28,Maj
59,DobleP & Alan Gomez,LOS JEFES DEL PERREO,Argentina,AR,18U5xleHCEAGW9hkSqk3zH,False,2024-10-30,day,single,57.0,148306.0,180 BPM,D,-5.39,4/4,76.0,55.0,70.0,19.0,23.0,14.0,0.0,29,Maj
61,Internacional Sonora Mar y Mar,La Probadita,Argentina,AR,2PameGXfJCJ6ogcN7pHeky,False,2015-09-24,day,single,32.0,192287.0,91 BPM,D#,-4.11,4/4,73.0,90.0,96.0,5.0,7.0,61.0,0.0,30,Maj
66,El Turko & Mandale Flow,30 Grados,Argentina,AR,6IRRoV7AbjHT8JWP4uFrD5,False,2024-01-25,day,single,61.0,151441.0,98 BPM,C#,-3.78,4/4,57.0,68.0,37.0,33.0,8.0,2.0,0.0,31,Maj
