,Unnamed: 0,ISO_Code,Country,Geographic_Area
0,0,AE,United Arab Emirates,Asia
1,1,AR,Argentina,South America
2,2,AT,Austria,Europe
3,3,AU,Australia,Oceania
4,4,BD,Bangladesh,Asia
5,5,BE,Belgium,Europe
6,6,BG,Bulgaria,Europe
7,7,BH,Bahrain,Asia
8,8,BR,Brazil,South America
9,9,BY,Belarus,Europe
10,10,CA,Canada,North America
11,11,CH,Switzerland,Europe
12,12,CL,Chile,South America
13,13,CO,Colombia,South America
14,14,CZ,Czech Republic,Europe
15,15,DE,Germany,Europe
16,16,DK,Denmark,Europe
17,17,EE,Estonia,Europe
18,18,EG,Egypt,Africa
19,19,ES,Spain,Europe
20,20,FI,Finland,Europe
21,21,FR,France,Europe
22,22,GB,United Kingdom,Europe
23,23,GR,Greece,Europe
24,24,HR,Croatia,Europe
25,25,HU,Hungary,Europe
26,26,ID,Indonesia,Asia
27,27,IE,Ireland,Europe
28,28,IL,Israel,Asia
29,29,IQ,Iraq,Asia
30,30,IS,Iceland,Europe
31,31,IT,Italy,Europe
32,32,JO,Jordan,Asia
33,33,JP,Japan,Asia
34,34,KH,Cambodia,Asia
35,35,KR,South Korea,Asia
36,36,KW,Kuwait,Asia
37,37,KZ,Kazakhstan,Asia
38,38,LB,Lebanon,Asia
39,39,LT,Lithuania,Europe
40,40,LU,Luxembourg,Europe
41,41,LV,Latvia,Europe
42,42,MA,Morocco,Africa
43,43,MM,Myanmar,Asia
44,44,MO,Macau,Asia
45,45,MX,Mexico,North America
46,46,MY,Malaysia,Asia
47,47,NG,Nigeria,Africa
48,48,NL,Netherlands,Europe
49,49,NO,Norway,Europe
50,50,NZ,New Zealand,Oceania
51,51,OM,Oman,Asia
52,52,PE,Peru,South America
53,53,PH,Philippines,Asia
54,54,PK,Pakistan,Asia
55,55,PL,Poland,Europe
56,56,PT,Portugal,Europe
57,57,QA,Qatar,Asia
58,58,RO,Romania,Europe
59,59,SA,Saudi Arabia,Asia
60,60,SE,Sweden,Europe
61,61,SG,Singapore,Asia
62,62,SK,Slovakia,Europe
63,63,TH,Thailand,Asia
64,64,TR,Turkey,Asia
65,65,TW,Taiwan,Asia
66,66,UA,Ukraine,Europe
67,67,US,United States,North America
68,68,UZ,Uzbekistan,Asia
69,69,VN,Vietnam,Asia
70,70,ZA,South Africa,Africa
