,Artista,Cancion,Ranking,Pais,id,Track_ID,Explicit,Release_Date,Release_Date_Precision,Album_Type,Popularity,Duration
0,DobleP & Tuti Dj & PEREIRAREMIX,SE DICE DE MI,1,Argentina,AR,2wEhjcnre2PU36KQNBLXCC,True,2024-09-11,day,single,65,136000
1,renzo ed & ELAGGUME,COLOCARTELO,2,Argentina,AR,4xXvGEiTkoaIkOMWa4u3Mn,False,2024-10-24,day,single,74,176250
2,FloyyMenor,PELIGROSA,3,Argentina,AR,42wdz3j7gstgUuhoFLCXqd,True,2024-08-09,day,album,81,134930
3,Standly,Pégate,4,Argentina,AR,3E8xyYdIPpiH2wNEozE68I,False,2022-01-03,day,single,80,186096
4,Valentino Merlo & The La Planta,Hoy,5,Argentina,AR,0SoBfYjQHvL6cuWHtPUYnq,False,2024-05-22,day,single,77,198495
5,Sabrina Carpenter,Taste,6,Argentina,AR,5G2f63n7IPVPPjfNIGih7Q,False,2024-08-23,day,album,91,157279
6,Tiago PZK & Anitta & Emilia,Alegría,7,Argentina,AR,0c82YIGpQ5dCaXpTNCk4sb,False,2024-07-04,day,album,75,165054
7,Ponte Perro & COLORS,Mi santo - A COLORS SHOW,8,Argentina,AR,6rKOEyg05nKSRRErDmBWjy,False,2024-08-29,day,single,56,133013
8,La Joaqui & DobleP,Terapia de choque,9,Argentina,AR,1HRUB9L0IRcRHzLVD4pk6C,False,2024-07-17,day,single,65,164424
9,DJ Sanny J,Fiesta Reggaeton - D@Niele 2010 Tek Remix,10,Argentina,AR,1ND3O9oFkHElah4d5g3OeF,False,2010-08-25,day,single,41,379141
10,Surf Curse,Disco,11,Argentina,AR,2Lumsra3kuU61wXkEKzKaK,False,2019-06-12,day,single,82,152760
11,RAMKY EN LOS CONTROLES & Roze Oficial,SALE SOLA,13,Argentina,AR,2xm4FQMffynQ251pwc0Rcn,False,2024-09-12,day,single,57,125969
12,Big One & Tiago PZK & La Joaqui,Pa´ Que Te Acuerdes | CROSSOVER #8,14,Argentina,AR,5aZ8rf2aPfZrnRWLA7bByo,True,2024-10-02,day,single,74,172800
13,Sele Vera y Pampas de Bariloche,El Bailongo en Lo del Rengo,15,Argentina,AR,4JbQUJ6o0M80Q3GgvL87is,False,2022-01-12,day,compilation,47,113736
14,Klim,Toa Toa,16,Argentina,AR,2zQa0VTafGFnrtuZnkeuPm,False,2024-07-25,day,single,59,148050
15,Airbag,Cicatrices,17,Argentina,AR,23FJGRug9hlYUIBnrmkIBX,False,2016-09-16,day,album,66,228541
16,Kolisiøn,3 Segundos De Gloria,18,Argentina,AR,1kJ5PN754l7A2R1It33txk,False,2018-05-19,day,album,0,4000
17,Felix Tena,Tonight,20,Argentina,AR,18krIFLpV3Y77snEJf0z6R,False,2023-01-06,day,single,21,338729
18,Halcyon Days & Halcyon Days,4.33 (Original Mix),21,Argentina,AR,47VPDMI0LWEzreNh2tXYfS,False,2001-01-01,day,album,19,272988
19,Yami Safdie & Lasso,En Otra Vida,22,Argentina,AR,0EhmTBq33eARyOz3SIi4P2,False,2024-10-10,day,single,80,153609
20,Sarpado Negro Fino,ELLA ES BUTAKERA x Alex El Beatmaker,24,Argentina,AR,1kVK8CdQPKhAHTkqp21bE7,False,2024-08-08,day,single,44,145727
21,Maria Becerra,AGORA,25,Argentina,AR,0EVxchTHYIgx618OrpcrdQ,False,2024-09-12,day,single,74,153564
22,Piromano El Del Flow Gitano,MIENTES TAN BIEN,26,Argentina,AR,0IVaOnXV1QqPwhbW2PpMoM,False,2024-05-15,day,single,61,215257
23,Omar Courtz & De La Rose,Q U E  V A S  H A C E R  H O Y ?,27,Argentina,AR,0Sr7ssScx54yxdM2ols7nW,True,2024-09-20,day,album,86,224022
24,Floricienta,Flores Amarillas,28,Argentina,AR,5wBBoVjoounI5e36oI8oZe,False,2005-06-21,day,album,60,223186
25,The King Khan & BBQ Show,Love You So,29,Argentina,AR,5rwQGBi5mdmU7dqNM7x9Oo,False,2007-11-20,day,single,46,225880
26,El Alfa & Nfasis,ESTE,30,Argentina,AR,0GfWTZZOc7co6oVqyQ556l,False,2024-07-04,day,single,71,162058
27,Maria Becerra,AGORA,31,Argentina,AR,0EVxchTHYIgx618OrpcrdQ,False,2024-09-12,day,single,74,153564
28,Alphaville,Forever Young,32,Argentina,AR,4S1VYqwfkLit9mKVY3MXoo,False,1984,year,album,82,226706
29,Gold-Tiger,Funny,33,Argentina,AR,1bYyZHW4IuGdWzzbm6ErMq,False,2017-07-22,day,single,32,137744
30,Don Omar,Dutty Love,34,Argentina,AR,2oJH69cuNyWpCmZyTmvrEN,False,2012-01-01,day,album,74,285333
31,Altitude Music / BMGPM,Downstream (STEM synth 1),35,Argentina,AR,0c6ofcvyXFLNO0IToOJHzJ,False,2011-11-03,day,album,0,232638
32,La Joaqui,ELEUSECA,36,Argentina,AR,2G9Peu46Wi5ndbX8HKpy5j,False,2024-09-04,day,single,43,136956
33,LOLO OG & Ecko & Omar Varela,Mas Lentito,37,Argentina,AR,4aQPo6LD74HVgGOfOLotSZ,True,2024-06-14,day,single,62,186187
34,The White Stripes,We're Going to Be Friends,38,Argentina,AR,13lZDbwonGhOflQLQIfdtZ,False,2001-07-03,day,album,66,140178
35,Maluma,Pretextos (feat. Cosculluela),39,Argentina,AR,7HDOS7qOhBxmcsWTv29PSK,False,2015-10-30,day,album,68,228280
36,KAROL G,Si Antes Te Hubiera Conocido,40,Argentina,AR,6WatFBLVB0x077xWeoVc2k,False,2024-06-21,day,single,92,195824
37,Rokero & Luar La L & Los G4,De La Nada - Remix,42,Argentina,AR,2OfBHBXUv6G3PYFaiFYEEM,True,2022-11-24,day,single,63,300373
38,Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),43,Argentina,AR,2X7jfQnEMQYYmvkhr6mzS9,False,1998-05-11,day,album,69,204306
39,Punch-Drunk Love,He Needs Me,44,Argentina,AR,4fLgfaFudrtfkOzAa2rj64,False,2002-11-05,day,compilation,40,211466
40,Sonnerie Silencieux,"Mode Silence - Muet, Mode Silencieux, Calme, Chut Pour Iphone",45,Argentina,AR,,,,,,,
41,Jere Klein & ADAN LA AMENAZA,LA BANDA,46,Argentina,AR,0Lza01W8dOGTLWXIuHQ6JY,False,2024-05-29,day,single,54,172500
42,Sevdaliza & Pabllo Vittar & Yseult,Alibi,47,Argentina,AR,5496lks6V3fh1mZAB6IAap,False,2024-06-28,day,single,83,161655
43,Flor Alvarez & PUSHI,Tattoo,48,Argentina,AR,6KuS9WnV0GqXzVRUMIJ9aa,False,2024-11-20,day,single,64,142467
44,Ponte Perro,SOLARI RKT,49,Argentina,AR,19fJwQGQavo2e7z7X3Y6NW,False,2024-03-14,day,single,54,147914
45,Lucky Brown,Cosa Linda,51,Argentina,AR,5eqZZLLZ4CkuUznPCOimsi,True,2024-10-23,day,album,75,150000
46,Altitude Music / BMGPM,Principles Of Uncertainty (STEM licks),52,Argentina,AR,5MtQ3f8sfEgRffbnHOURxH,False,2011-11-03,day,album,0,116833
47,El Traidor y los Pibes,Mi Guitarra,55,Argentina,AR,4IOy2uZ4ObsFtqUgHsENji,False,2019-06-21,day,single,41,172317
48,my head is empty,i was only temporary,56,Argentina,AR,0X4YYZtZcvqNqYIpMd93IT,False,2023-10-20,day,single,73,98621
